oaptlocation,destname,daptlocation,oname,dname,tbl,y,quart,origincty,destcty,originname,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs,x
"Dallas, TX","Lubbock, TX","Lubbock, TX","Dallas, TX","Lubbock, TX",Table 1,0,20133,30194,32896,"Dallas/Fort Worth, TX",293,493.0434783,156.3524361,WN,72.81746032,155.1735301,WN,72.81746032,155.1735301,36,0
"Chicago, IL","St. Louis, MO","St. Louis, MO","Chicago, IL","St. Louis, MO",Table 1,0,20133,30977,31123,"Chicago, IL",258,1329.891304,155.3825223,WN,48.81896199,157.2820978,AA,37.06579485,145.4620176,37,0
"Newburgh/Poughkeepsie, NY","Rochester, NY","Rochester, NY","New York City, NY (Metro Area)","Rochester, NY",Table 1,0,20133,31703,34576,"New York City, NY (Metro Area)",285,726.1956522,151.2311151,B6,60.81424936,138.3710706,B6,60.81424936,138.3710706,,
"Providence, RI","Philadelphia, PA","Philadelphia, PA","Boston, MA (Metro Area)","Philadelphia, PA",Table 1,0,20133,30721,34100,"Boston, MA (Metro Area)",289,2295.217391,149.4468867,US,78.15874219,157.1592771,B6,20.70941466,120.2387423,39,19
"Burlington, VT","New York City, NY (Metro Area)","Newark, NJ","Burlington, VT","New York City, NY (Metro Area)",Table 1,26,20133,30785,31703,"Burlington, VT",266,421.1956522,147.8662658,B6,65.98709677,134.9030896,B6,65.98709677,134.9030896,40,0
"Buffalo, NY","Washington, DC (Metro Area)","Baltimore, MD","Buffalo, NY","Washington, DC (Metro Area)",Table 1,23,20133,30792,30852,"Buffalo, NY",296,777.7173913,147.0972327,WN,61.49545772,136.46345,WN,61.49545772,136.46345,41,0
"Boise, ID","Spokane, WA","Spokane, WA","Boise, ID","Spokane, WA",Table 1,0,20133,30713,31884,"Boise, ID",287,254.4565217,146.6530244,WN,90.64502349,138.7761546,WN,90.64502349,138.7761546,42,0
"Houston, TX","Harlingen/San Benito, TX","Harlingen/San Benito, TX","Houston, TX","Harlingen/San Benito, TX",Table 1,0,20133,31453,32206,"Houston, TX",295,316.4130435,145.8172278,WN,87.56441086,145.6164339,WN,87.56441086,145.6164339,43,0
"Phoenix, AZ","Las Vegas, NV","Las Vegas, NV","Phoenix, AZ","Las Vegas, NV",Table 1,0,20133,30466,32211,"Phoenix, AZ",276,1396.521739,129.4141804,WN,74.96108344,132.3465144,US,22.10460772,125.3953345,44,0
"Spokane, WA","Portland, OR","Portland, OR","Spokane, WA","Portland, OR",Table 1,0,20133,31884,34057,"Spokane, WA",279,410.6521739,127.1568502,AS,99.39121228,127.1643622,AS,99.39121228,127.1643622,45,0
